19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Solution
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, c
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, ca
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
19:45:25 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
19:45:25 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/01@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
19:45:26 23.12.2024 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/02@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Check
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
19:45:26 23.12.2024 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, c
